"time","mean","sd","n","cv"
15,2.04454300038565,1.74036599122038,5248,0.851224939212385
30,4.10711462450593,2.82114620853236,2560,0.686892494234133
45,6.17396593673966,3.85638768198938,1664,0.624620822580349
60,8.21518987341772,4.93468570471308,1280,0.600678229079096
75,10.2742574257426,5.98139092158819,1024,0.582172576930141
90,12.476253298153,6.85527620416267,768,0.5494659366348
105,14.5883280757098,7.95103037901937,640,0.545026841852987
120,16.4301587301587,8.77001929579021,640,0.533775688952549
135,18.7114624505929,9.71921374787102,512,0.519425660796656
150,20.5575396825397,10.7044454217716,512,0.520706543053072
165,22.9921052631579,11.7274429880952,384,0.510063904712849
180,24.9444444444444,12.4389046287959,384,0.498664328103175
195,26.7380952380952,13.0973777346483,384,0.489839594706349
210,29.1259842519685,14.3661834628508,256,0.493242849359842
225,31.3293650793651,15.1254597504671,256,0.482788582282166
240,33.5555555555556,16.1837336837056,256,0.482296699183281
255,35.484126984127,16.8904292317636,256,0.475999571282087
270,37.4642857142857,17.7809467133116,256,0.474610589106507
285,39.3134920634921,18.530714691023,256,0.471357636230726
300,41.1150793650794,19.2585328217873,256,0.468405585473449
315,43.359375,19.6487800406696,128,0.453161053190217
330,45.4609375,20.4299850435078,128,0.449396474577934
345,47.65625,21.2837735316844,128,0.446610329845182
360,49.5,21.856166177992,128,0.441538710666504
375,51.5634920634921,22.7629509622091,128,0.441454797789495
390,53.7936507936508,23.5308537746738,128,0.437428087283697
405,55.9761904761905,24.5863260486684,128,0.439228283302455
420,58.1111111111111,25.6175634195674,128,0.440837611426589
435,60.4032258064516,26.002476228186,128,0.430481582415896
450,62.7016129032258,26.7590816856996,128,0.426768633958425
465,65.0161290322581,28.0147997678369,128,0.43088999890992
480,67.1774193548387,28.7628510372354,128,0.428162488429434
495,69.0725806451613,29.5577630393058,128,0.427923247737761
510,71.0725806451613,30.3556623043631,128,0.42710792303881
525,73.1129032258064,31.4609603679721,128,0.430306539336923
540,75,32.0081290487784,128,0.426775053983712
555,76.9354838709677,32.7862607392167,128,0.426152655310573
570,78.6854838709677,33.4681906826294,128,0.425341359500466
585,80.3870967741936,34.0983059153897,128,0.424176357695458
600,82.2741935483871,34.8045270183401,128,0.423030910632638
615,83.9516129032258,35.4625314323269,128,0.422416320615614
