Search_Ref,Authors,Title,Journal,Abstract,Year,Volume,Page_Start,Page_End,Article_Number,DOI,DOI_Link,Screen,Downloaded,Included,Why_Not,Extracted
2022-1,"Bergmanis, U; Aunins, A",Diet composition and food supply of the Lesser Spotted Eagle Clanga pomarina in the core area of its breeding range,BIRD STUDY,"Capsule Small rodents and amphibians are both important prey items for the Lesser Spotted Eagle Clanga pomarina, and their proportions in the diet depend on their local availability, as well as the degree of involvement of the female in food provisioning to the nestlings, which increases towards the end of the breeding season. Aims To describe the diet composition and aspects of the food supply of the Lesser Spotted Eagle during the nesting period. Methods Cameras were installed at five nests of three pairs of the Lesser Spotted Eagle in eastern Latvia, to collect data on food items brought to the nests. Results Of 3109 identified prey items, small rodents (43.36%) and amphibians (44.81%) were the most important prey groups. The proportion of common (small rodents and amphibians) and uncommon (moles, birds and others) food items differed between nests and years. Among the common food items, the deficiency of small rodents in some years was compensated for by an increase in frogs and vice versa. Male eagles brought 66% of all food items to the nest. Females brought more amphibians and fewer rodents than did males. After hatching, the mean number of food items delivered to the nest was 6.9 per day. The main activity period of food delivery was between the 3rd to 7th hour after sunrise. Conclusion The alternative prey hypothesis explains the diet of the Lesser Spotted Eagle in our study area. Rodents and amphibians are food items of equal importance that can replace each other, depending on their availability. The increasing share of amphibians towards the end of the breeding season was mainly a result of an increasing proportion of prey items brought into the nest by females.",2022,68,319,329,,10.1080/00063657.2022.2049204,http://dx.doi.org/10.1080/00063657.2022.2049204,1,1,0,proportion female,
2022-2,"Golawski, A; Zduniak, P",Influence of researcher experience and fieldwork intensity on the probability of brood losses in sensitive species: The case of the Red-backed Shrike Lanius collurio,JOURNAL FOR NATURE CONSERVATION,"Minimizing disturbance to animals when studying them should be a major consideration in ecological research design, especially when species are known to be sensitive to disturbances. A basic method in the study of bird reproductive ecology involves nest visits, but these can adversely affect birds' breeding success. Appropriate fieldwork procedures are therefore highly important, especially in the case of timid and sensitive species. This study aimed to assess the impact of the method of searching for nests of Red-backed Shrike Lanius coilurio on the probability of these birds abandoning their broods. Our study revealed that observer experience and nest searching intensity did influence the likelihood of brood desertion by this species. Less field experience and a greater nest searching intensity caused the shrikes to abandon their nests more often. We recommend paying scrupulous attention to the behaviour of the birds when searching for nests and when looking for nests after incubation has started.",2022,69,,,126249,10.1016/j.jnc.2022.126249,http://dx.doi.org/10.1016/j.jnc.2022.126249,0,,,,
2022-3,"Ritchison, G; Lewis, L; Heist, CA",Provisioning behavior of male and female Loggerhead Shrikes,AVIAN BIOLOGY RESEARCH,"The unique predatory, caching, and impaling behaviors of shrikes (Laniidae) may provide these unusual passerines with alternative provisioning strategies compared to other songbirds, but few studies have determined the impact these unique behaviors have on provisioning rates. Our objectives were to compare the provisioning behavior of male and female Loggerhead Shrikes (Lanius ludovicianus), and determine how their provisioning behavior was influenced by nestling age. The provisioning behavior of six pairs of Loggerhead Shrikes was videotaped from 15 April to 15 August 2004-2007 in Garrard and Madison counties, Kentucky, USA. For each nest visit by a shrike, the sex of the visiting adult, number of prey items delivered, size of prey, type of prey, and the duration of the nest visit were recorded. Adults made 2169 visits to nests, with males (49%) and females (51%) making similar numbers of visits. Males and females differed in time spent at nests, with males spending less time at nests per visit (mean = 12.0 s, N = 1062) than females (77.0 s, N = 1107). Feeding rates did not differ between the sexes, but feeding rates did increase with nestling age. The size of prey delivered to nestlings also tended to increase with nestling age. Invertebrates comprised 65% of the identified prey items, and cached items made up the remaining 35%. Although many passerine species increase provisioning rates as nestling demand increases, the caching behavior of shrikes may allow adults to reliably increase both feeding rates and prey size as nestling age and demand increase as well as act as buffers when prey availability declines. The caching behavior of shrikes provides them with parental provisioning strategies not available to non-caching songbirds.",2022,15,93,99,1.76E+16,10.1177/17581559221092692,http://dx.doi.org/10.1177/17581559221092692,1,1,1,,1
2022-4,"Eguchi, K; Mikami, K; Yamaguchi, N; Noske, RA",Inter-sexual differences in contributions of helpers in a tropical population of the cooperatively breeding Grey-crowned Babbler Pomatostomus temporalis,EMU-AUSTRAL ORNITHOLOGY,"The Grey-crowned Babbler Pomatostomus temporalis is a group-living, cooperatively breeding species in which offspring of both sexes are equally philopatric, but only male helpers inherit the natal territory. We quantified helping efforts in a tropical population of the babbler, and tested the hypothesis that inter-sexual differences in helping efforts are related to the chance of inheriting their natal territory. We found that the total nest visiting rate during the nestling period and fledging success were higher among larger groups, but dominant birds (breeders) did not decrease their effort with group size. The total nest visiting rate during the nestling period increased with the number of female helpers, and fledging success was higher in groups with a female-biased sex ratio. In contradiction of the above hypothesis, female helpers contributed more towards nestling care than male helpers, although the latter contributed more towards nest building. There was no tendency for helpers to contribute more care towards nestlings of related breeders than those of unrelated breeders, suggesting that indirect (kin selection) benefits for helpers may be less important than direct benefits in explaining helping behaviour in this population. Our study suggests there may be sex-specific differences in the costs and benefits of helping behaviour.",2022,122,77,86,,10.1080/01584197.2022.2072347,http://dx.doi.org/10.1080/01584197.2022.2072347,1,1,1,,1
2022-5,"Tilgar, V; Hein, K; Viigipuu, R",Anthropogenic noise alters the perception of a predator in a local community of great tits,ANIMAL BEHAVIOUR,"Anthropogenic noise is increasing at an alarming rate in urban as well as rural ecosystems and detrimental effects have been reported on many animals relying on acoustic communication. Little is known regarding the impact of different types of noise on community level predator perception and breeding behaviour. Here, we presented a predator model alone or a predator combined with a specific noise type, such as traffic, a lawnmower or a chainsaw, to breeding pairs of great tits, Parus major, giving them the opportunity to perform mobbing behaviour that could provide public information to their neighbours. We then measured the provisioning behaviour of adjacent tit pairs, which were 50-150 m away from the focal pairs' nests. The adjacent breeding pairs decreased nest visits when focal birds were exposed to the sparrowhawk model or to the sparrowhawk model combined with the lawnmower noise. Neighbouring pairs did not reduce the rate of nest visits when focal birds were exposed to the hawk model combined with the traffic or the chainsaw noise. The distance from focal nests did not alter the noise effect on neighbouring pairs. We suggest that auditory masking is the most likely mechanism to explain why noise compromises public information. The chainsaw and traffic noise overlap with the frequency of mobbing calls and disrupt the transmission of auditory signals in the community. Further, when the hawk presentation was combined with the chainsaw noise, which was the type of noise that had the highest frequencies, the latency of mobbing by the focal birds was strongly increased, and the number of species involved in mobbing was reduced. This study demonstrates that the signalling function of mobbing is ineffective in noisy environments which ultimately impacts fitness via increased predation to adults or their offspring.(c) 2022 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2022,189,91,99,,10.1016/j.anbehav.2022.05.001,http://dx.doi.org/10.1016/j.anbehav.2022.05.001,1,1,1,,1
2022-6,"Lopez-Lopez, P; Perona, AM; Egea-Casas, O; Morant, J; Urios, V",Tri-axial accelerometry shows differences in energy expenditure and parental effort throughout the breeding season in long-lived raptors,CURRENT ZOOLOGY,"Cutting-edge technologies are extremely useful to develop new workflows in studying ecological data, particularly to understand animal behavior and movement trajectories at the individual level. Although parental care is a well-studied phenomenon, most studies have been focused on direct observational or video recording data, as well as experimental manipulation. Therefore, what happens out of our sight still remains unknown. Using high-frequency GPS/GSM dataloggers and tri-axial accelerometers we monitored 25 Bonelli's eagles Aquila fasciata during the breeding season to understand parental activities from a broader perspective. We used recursive data, measured as number of visits and residence time, to reveal nest attendance patterns of biparental care with role specialization between sexes. Accelerometry data interpreted as the overall dynamic body acceleration, a proxy of energy expenditure, showed strong differences in parental effort throughout the breeding season and between sexes. Thereby, males increased substantially their energetic requirements, due to the increased workload, while females spent most of the time on the nest. Furthermore, during critical phases of the breeding season, a low percentage of suitable hunting spots in eagles' territories led them to increase their ranging behavior in order to find food, with important consequences in energy consumption and mortality risk. Our results highlight the crucial role of males in raptor species exhibiting biparental care. Finally, we exemplify how biologging technologies are an adequate and objective method to study parental care in raptors as well as to get deeper insight into breeding ecology of birds in general.",2022,68,57,67,,10.1093/cz/zoab010,http://dx.doi.org/10.1093/cz/zoab010,1,1,1,,1
2022-7,"Enns, J; Williams, TD","Paying attention but not coordinating: parental care in European starlings, Sturnus vulgaris",ANIMAL BEHAVIOUR,"Sexual conflict occurs in biparental species because working together provides shared benefits while incurring individual costs. In birds, coordination of provisioning visits via turn taking has been proposed as a strategy to mitigate this conflict. However, alternation of visits requires that birds have access to reliable information on their partner's behaviour, e.g. through high synchrony of nest visits or short foraging distances (allowing for direct observation of partners). Here we investigated parental coordination in the European starling, a species that forages at considerable distances from the nest (200 -1600 m), where there is no evidence that pairs forage together, and where synchrony at the nest appears to be low, so that direct access to information on partners will be variable and limited. There was some evidence that individuals were 'paying attention' to their partner's provisioning rate, adjusting their behaviour in response to their partner's behaviour. In first broods, female intervisit intervals that were preceded by a male visit (order of visits: male, female, female) were longer than those that were preceded by a female visit (order of visits: female, female, female). Females and males both responded to mate removal by decreasing their provisioning rates though these returned to preremoval levels the day after removal. This is consistent with 'matching' of parental workload not 'partial compensation'. These results suggest that birds do adjust their behaviour in relation to information about their partner's behaviour or absence/presence. However, despite this, there was no evidence of true coordination via alternation or synchrony (i.e. this was not different from random) in European starlings.Crown Copyright (c) 2022 Published by Elsevier Ltd on behalf of The Association for the Study of Animal Behaviour. All rights reserved.",2022,193,113,124,,10.1016/j.anbehav.2022.09.009,http://dx.doi.org/10.1016/j.anbehav.2022.09.009,1,1,1,,1
2022-8,"Verhoeven, MA; Loonstra, AHJ; Pringle, T; Kaspersma, W; Whiffin, M; McBride, AD; Sjoerdsma, P; Roodhart, C; Burgess, MD; Piersma, T; Smart, J",Do ditch-side electric fences improve the breeding productivity of ground-nesting waders?,ECOLOGICAL SOLUTIONS AND EVIDENCE,"Insufficient reproduction as a consequence of predation on eggs and chicks is a major determinant of population decline in ground-nesting birds, including waders. For many populations, there is an urgent need to maintain breeding populations at key sites, and conservation practitioners need to find viable management solutions to reduce predation. One tool available to the practitioner is fences that exclude key predators from areas containing breeding birds. Temporary electric fencing is an increasingly popular predator exclusion intervention, but such fences have costs associated with purchase and the time needed to erect and maintain them. Their effectiveness and optimal application are also frequently questioned. We evaluate the use of temporary ditch-side four-strand electric fences in lowland grasslands in two countries, The Netherlands and England, in areas containing high densities of breeding waders. In both countries and in all years, godwit and lapwing nest survival was significantly higher within areas enclosed by ditch-side electric fences. Brood survival, assessed for godwits in The Netherlands, was also higher within fenced areas in all years. This demonstrates that using temporary electric fences to enclose ground-nesting birds can be an effective tool for improving breeding productivity. In our study, closely managed electric fences were effective at excluding red foxes Vulpes vulpes, but not avian and other mammalian predators. The positive effect that electric fencing had on nest and brood survival therefore likely results from a reduction in the total number of visits by mammalian predators, and especially visits by foxes. Although it requires a substantial time investment throughout the period of use, our temporary electric fence design provides flexibility compared to other fence designs when it comes to enclosing different areas within a season and between years, as the targets for protection change or as land and flood management dictate. This conservation intervention can help buy the time required to develop and implement longer term solutions for application at larger scales.",2022,3,,,e12143,10.1002/2688-8319.12143,http://dx.doi.org/10.1002/2688-8319.12143,0,,,,
2022-9,"Maynard, LD; Gulka, J; Jenkins, E; Davoren, GK",AT-COLONY BEHAVIOUR OF GREAT BLACK-BACKED GULLS LARUS MARINUS FOLLOWING BREEDING FAILURE,MARINE ORNITHOLOGY,"Territoriality for breeding sites comes at an energetic cost-individuals actively defend the site from competitors and potential predators, thus precluding themselves from self-maintenance (e.g., foraging, preening) or offspring care. Breeding individuals are also constrained to centralplace foraging within a limited range of the territory. For these reasons, many seabirds do not spend extensive periods or make regular visits to the colony following breeding failure. To investigate behaviour following breeding failure, we studied colony and nest attendance and daily number of visits for six Great Black-backed Gulls Larus marinus that had failed to breed following global positioning system (GPS) tag attachment on the northeast coast of Newfoundland, Canada. Three failed breeders reduced colony and nest attendance by an average 6.32 h/d (95% confidence interval: 1.14) after the estimated date of failure. Conversely, three other failed breeders showed no decrease in attendance, and one individual increased colony attendance by 5.4 h/d. We predicted that failed breeders would be more likely to forage while attending the colony relative to active breeders (i.e., incubating or chick-rearing) due to their lack of offspring and territory to defend. During 18 two-hour nest watches of active and failed breeders, active breeders (n = 4) behaved more aggressively (e.g., predation, swooping) toward gulls at nearby sites in the colony, while failed breeders (n = 6) behaved mostly passively (e.g., preening, sitting, P = 0.029). Our findings indicate that failed breeders continue to attend the colony after breeding failure, indicating potential benefits (e.g., maintaining breeding territory and pair bonding). Our findings also reveal that using tracking data to indicate breeding failure may be misleading and, thus, we suggest researchers also use visual confirmation of breeding failure, when possible, in future studies. Finally, we warn researchers of the negative effects of tag attachment on gull reproductive success.",2022,50,197,204,,,,0,,,,
2022-10,"Walter, LA; Viverette, C; Bulluck, L","Parental care in a sexually monomorphic Picid, the Red-headed Woodpecker",JOURNAL OF FIELD ORNITHOLOGY,"Parental care is energetically costly and is thus shared by parents in many bird species. Little is known about how parental care is shared in pairs of sexually monomorphic species. Red-headed Woodpeckers (Melanerpes erythrocephalus) are a sexually monomorphic and socially monogamous species in an almost exclusively dimorphic family (> 99% of species; Picidae). We assessed duration of diurnal incubation and brooding and frequency of nestling provisioning and nest cleaning for individually marked breeding Red-headed Woodpeckers at Fort A.P. Hill, Virginia, USA. Individuals were genetically sexed using DNA from feather samples. In addition to parent sex, we evaluated the influence of nestling characteristics (brood size and nestling age) and exogenous factors (habitat type, date, and maximum daily temperature) on parental care behaviors. We recorded and analyzed video at nests during the incubation and nestling stages. We found that females diurnally incubate more than males and males almost exclusively remove fecal sacs from nests. Using generalized linear mixed models, we found females brood young nestlings more than males, but males are the only parent to enter the cavity when chicks are > 10 days old. We found provisioning peaked during the middle of the nestling period, and provisioning frequency was higher in early summer (before 7 July) compared to late summer. The seasonal reduction in provisioning could be related to resource availability but warrants further study. This division of reproductive roles is common in dimorphic woodpecker species and supports the existence of energetic constraints to successfully fledge altricial offspring.",2022,93,,,3,10.5751/JFO-00089-930203,http://dx.doi.org/10.5751/JFO-00089-930203,1,1,1,,1
