Search_Ref,Downloaded,Included,Why_Not,Extracted,Authors,Title,Journal,Year,Volume,Page_Start,Page_End,Article_Number,DOI
5,1,1,NA,1,"Blas, J; Abaurrea, T; D'Amico, M; Barcellona, F; Revilla, E; Roman, J; Carrete, M",Management-Related Traffic as a Stressor Eliciting Parental Care in a Roadside-Nesting Bird: The European Bee-Eater Merops apiaster,PLOS ONE,2016,11,NA,NA,e0164371,10.1371/journal.pone.0164371
10,1,1,NA,1,"Young, RC; Barger, CP; Dorresteijn, I; Haussmann, MF; Kitaysky, AS",Telomere length and environmental conditions predict stress levels but not parental investment in a long-lived seabird,MARINE ECOLOGY PROGRESS SERIES,2016,556,251,259,NA,10.3354/meps11864
11,1,1,NA,1,"Barger, CP; Young, RC; Will, A; Ito, M; Kitaysky, AS",Resource partitioning between sympatric seabird species increases during chick-rearing,ECOSPHERE,2016,7,NA,NA,e01447,10.1002/ecs2.1447
19,1,1,NA,1,"Auer, SA; Islam, K; Wagner, JR; Summerville, KS; Barnes, KW",THE DIET OF CERULEAN WARBLER (SETOPHAGA CERULEA) NESTLINGS AND ADULT NEST PROVISIONING BEHAVIORS IN SOUTHERN INDIANA,WILSON JOURNAL OF ORNITHOLOGY,2016,128,573,583,NA,NA
22,1,1,NA,1,"Amininasab, SM; Kingma, SA; Birker, M; Hildenbrandt, H; Komdeur, J","The effect of ambient temperature, habitat quality and individual age on incubation behaviour and incubation feeding in a socially monogamous songbird",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2016,70,1591,1600,NA,10.1007/s00265-016-2167-2
24,1,1,NA,1,"Koenig, WD; Walters, EL",Provisioning patterns in the cooperatively breeding acorn woodpecker: does feeding behaviour serve as a signal?,ANIMAL BEHAVIOUR,2016,119,125,134,NA,10.1016/j.anbehav.2016.06.002
27,1,1,NA,1,"Cantarero, A; Lopez-Arrabe, J; Plaza, M; Saavedra-Garces, I; Moreno, J",Males feed their mates more and take more risks for nestlings with larger female-built nests: an experimental study in the Nuthatch Sitta europaea,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2016,70,1141,1150,NA,10.1007/s00265-016-2122-2
28,1,1,NA,1,"Schroeder, J; Hsu, YH; Winney, I; Simons, M; Nakagawa, S; Burke, T",Predictably Philandering Females Prompt Poor Paternal Provisioning,AMERICAN NATURALIST,2016,188,219,230,NA,10.1086/687243
29,1,1,NA,1,"Tanaka, KD; Morimoto, G; Ueda, K",Equivocal Responses of Feeding Parents to Experimental Brood Sizes in a Hawk-Cuckoo Host: Brood Size as a Reference for Parental Provisioning Decisions?,ETHOLOGY,2016,122,640,648,NA,10.1111/eth.12511
33,1,1,NA,1,"Ren, QM; Luo, S; Du, XJ; Chen, GL; Song, S; Du, B",Helper effects in the azure-winged magpie Cyanopica cyana in relation to highly-clumped nesting pattern and high frequency of conspecific nest-raiding,JOURNAL OF AVIAN BIOLOGY,2016,47,449,456,NA,10.1111/jav.00783
