"ref","common_name","scientific_name","obs_method","obs_period_hours","obs_period_hours_mean","single_obs_period_length","mean_rate","mean_rate_use","sd","se","n","pooled","pooled_groups","units","units_hours","mean_chicks_or_adults","notes"
5,"Bee-eater","Merops apiaster","video","0.5",0.5,TRUE,"9.539766",9.539766,9.10082,NA,NA,TRUE,2,"visits/30min",0.5,NA,"extracted from fig 2a"
5,"Bee-eater","Merops apiaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Thick-billed Murre","Uria lomvia","automated","73.1 ± 3.7 h mean±SE N=101",73.1,FALSE,"1.552475",1.552475,1.002357,NA,NA,TRUE,3,"visits/day",24,NA,NA
11,"Thick-billed Murre","Uria lomvia","automated","18",18,TRUE,"0.244",0.244,0.08504117,NA,NA,FALSE,NA,"visits/hour",1,NA,NA
11,"Common Guillemot","Uria aalge","automated","18",18,TRUE,"0.156",0.156,0.1011138,NA,NA,FALSE,NA,"visits/hour",1,NA,NA
19,"Cerulean Warbler","Setophaga cerulea","video","0.7592593 ± 0.2545875, mean+sd",0.7592593,FALSE,"4.31",4.31,1.766692,NA,NA,FALSE,NA,"visits/30min",0.5,NA,NA
22,"Blue Tit","Cyanistes caeruleus","video","~8",8,FALSE,"1.84",1.84,1.89,NA,NA,FALSE,NA,"visits/hour",1,NA,"incubation feeding"
24,"Acorn Woodpecker","Melanerpes formicivorus","direct","~3",3,FALSE,NA,NA,NA,NA,NA,NA,NA,"visits/hour",1,NA,"data not presented"
27,"Nuthatch","Sitta europaea","video","92.06 ± SD 12.01 min, N = 30 and 95.05 ± SD 12.01 min (N=26).",1.5,FALSE,"0.4295292",0.4295292,0.7488425,NA,NA,TRUE,2,"visits/hour",1,NA,"incubation feeding extracted from fig 1, no chick feeding data presented"
28,"House Sparrow","Passer domesticus","video","1.5",1.5,TRUE,NA,NA,NA,NA,NA,NA,NA,"visits/hour",1,NA,"data not presented (embargoed on dryad)"
29,"Red-flanked Bluetail","Tarsiger cyanurus","video","1",1,TRUE,"16.465686",16.465686,7.069834,NA,NA,TRUE,3,"visits/hour",1,NA,"only control nest included; I THINK that they watched nests multiply for an hour at a time, and analyse number of feeds during that hour, but not completely clear"
33,"Azure-winged Magpie","Cyanapica cyana","video","unclear",NA,NA,"1.15",1.15,NA,"0.18",14,NA,NA,"visits/hour",1,NA,"incubation feeding; unsure of data collection"
33,"Azure-winged Magpie","Cyanapica cyana","video","unclear",NA,NA,"1.522042",1.522042,1.26366,NA,NA,FALSE,NA,"visits/hour",1,NA,"extracted from fig 2"
35,"Magellanic Penguin","Spheniscus magellanicus","automated","unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,"visits per day?",NA,NA,"No total time presented; many means +/- Sd presented; not sure how meaningful they are - problems arise when sds are below 0"
