"ref","N_Predictor","N_Response","methods","variable","variable_cat","error_distribution","data_available","species","obs_method","obs_period_hours","obs_period_hours_mean","single_obs_period_length","mean_rate","sd","pooled","pooled_groups","units","units_hours","mean_chicks_or_adults","per_chick","notes"
150,2,NA,NA,NA,NA,NA,"FALSE","house sparrow Passer domesticus","mixed direct + video","1 or 2",1.5,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"father"
150,2,NA,NA,NA,NA,NA,"FALSE","house sparrow Passer domesticus","mixed direct + video","1 or 2",1.5,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"mother"
150,3,NA,NA,NA,NA,NA,"FALSE","house sparrow Passer domesticus","mixed direct + video","1 or 2",1.5,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"mid-parent"
163,2,NA,NA,NA,NA,NA,"FALSE","tree swallow Tachycineta bicolor","direct","1",1,TRUE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"rates not reported"
200,1,NA,NA,NA,NA,NA,"FALSE","chestnut-crowned babbler Pomatostomus ruficeps","automated","9.6 ± 3.7 h/day",9.6,FALSE,NA,NA,NA,NA,"visits/hour",9.6,NA,FALSE,"dominant males"
213,1,NA,NA,NA,NA,NA,"FALSE","Cape gannet Morus capensis","automated","2 weeks",336,TRUE,NA,NA,NA,NA,"visits/day",24,NA,FALSE,"females"
213,1,NA,NA,NA,NA,NA,"FALSE","Cape gannet Morus capensis","automated","2 weeks",336,TRUE,NA,NA,NA,NA,"visits/day",24,NA,FALSE,"males"
278,1,NA,NA,NA,NA,NA,"FALSE","spotless starlings (Sturnus unicolor)","automated","2",2,TRUE,NA,NA,NA,NA,"visits/2hour",2,NA,FALSE,"pooled BR"
278,1,NA,NA,NA,NA,NA,"FALSE","spotless starlings (Sturnus unicolor)","automated","2",2,TRUE,NA,NA,NA,NA,"visits/2hour",2,NA,FALSE,"female BR"
278,1,NA,NA,NA,NA,NA,"FALSE","spotless starlings (Sturnus unicolor)","automated","2",2,TRUE,NA,NA,NA,NA,"visits/2hour",2,NA,FALSE,"male BR"
151,3,NA,NA,NA,NA,NA,"TRUE","white-browed sparrow-weaver Plocepasser mahali","video","mean 3.1 sd 0.27",3.1,FALSE,2.438679,2.148434,FALSE,NA,"visits/hour",1,NA,FALSE,"OS analysis; data from SM"
151,1,NA,NA,NA,NA,NA,"TRUE","white-browed sparrow-weaver Plocepasser mahali","video","mean 3.1 sd 0.27",3.1,FALSE,3.4627,3.809474,FALSE,NA,"visits/hour",1,NA,FALSE,"BM analysis; data from SM"
224,2,NA,NA,NA,NA,NA,"TRUE","house wrens (Troglodytes aedon)","video","1",1,TRUE,10.43478,5.989559,FALSE,NA,"visits/hour",1,NA,FALSE,"males; extracted from dryad data"
40,4,NA,NA,NA,NA,NA,"FALSE","Bull-headed Shrike Lanius bucephalus","video","4-5",4.5,TRUE,4.5,1.636282,TRUE,2,"visits/hour",1,NA,FALSE,"incubation feeding"
213,2,NA,NA,NA,NA,NA,"FALSE","Cape gannet Morus capensis","automated","2 weeks",336,TRUE,0.9946667,0.3316143,TRUE,11,"visits/day",24,NA,FALSE,"pooled"
215,1,NA,NA,NA,NA,NA,"FALSE","Great Blue Heron Ardea herodias","direct","6-9 hours",7.5,FALSE,0.7684,0.545493,TRUE,2,"visits/hour",1,NA,FALSE,"age1-2"
215,1,NA,NA,NA,NA,NA,"FALSE","Great Blue Heron Ardea herodias","direct","6-9 hours",7.5,FALSE,0.3659677,0.414618,TRUE,2,"visits/hour",1,NA,FALSE,"age2-4"
215,1,NA,NA,NA,NA,NA,"FALSE","Great Blue Heron Ardea herodias","direct","6-9 hours",7.5,FALSE,0.35,0.400749,TRUE,2,"visits/hour",1,NA,FALSE,"age4-6"
215,1,NA,NA,NA,NA,NA,"FALSE","Great Blue Heron Ardea herodias","direct","6-9 hours",7.5,FALSE,0.28035,0.396344,TRUE,2,"visits/hour",1,NA,FALSE,"age6-8"
131,NA,"1","GAMM","visits","number","Gaussian","FALSE","common guillemot Uria aalge","direct","full day (19 or 20 h depending on date)",20,FALSE,4.36,1.645357,FALSE,NA,"visits/day",20,NA,FALSE,"not stated whether SD or SE assume SE"
