"Ref","Scientific_Name","Common_Name","N_Predictor","N_Response","N_Analysis","Variable","Variable_Category","Error_Distribution","Data_Available","Observation_Method","Mean_Observation_Period_hours","Single_Observation_Period?","Pooled_Estimates?","N_Pooled_Groups","Estimate_Units","Estimate_Units_hours","Per_Chick","Mean_N_Chicks","Mean_Rate","SD_Rate","Adjusted_Mean_Rate","Adjusted_SD_Rate","Expexted_CV","Proportion_Expected_V","Notes"
5,"Merops apiaster","Bee-eater",NA,"1",1,"visits","number","Negative_Binomial","FALSE","video",0.5,TRUE,TRUE,2,"visits/30min",0.5,FALSE,NA,9.539766,9.10082,9.539766,9.10082,0.897367412311194,0.884820106535165,"extracted from fig 2a"
5,"Merops apiaster","Bee-eater",NA,"1",1,"visits","number","Negative_Binomial","FALSE","video",0.5,TRUE,TRUE,2,"visits/30min",0.5,FALSE,NA,11.05793,9.48867,11.05793,9.48867,0.803667272436277,0.877181680514315,"extracted from fig 2b; assumed sample size divded equally between week and weekend days"
10,"Uria lomvia","Thick-billed Murre",NA,"1",1,"visits/time","rate","Gaussian","FALSE","automated",73.1,FALSE,TRUE,3,"visits/day",24,FALSE,NA,1.552475,1.002357,4.72858010416667,3.0530123625,0.453194449589238,0.492689764422767,NA
11,"Uria lomvia / Uria aalge","Thick-billed Murre / Common Guillemot",NA,"1",1,"visits/time","rate","Gaussian","FALSE","automated",18,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,0.2100435,0.1009065,3.780783,1.816317,0,0,NA
19,"Setophaga cerulea","Cerulean Warbler",NA,"1/1",2,"visits/time","rate","Gaussian/Negative_Binomial","FALSE","video",0.7592593,FALSE,FALSE,NA,"visits/30min",0.5,FALSE,NA,4.31,1.766692,6.544815166,2.6827546624712,0.123408596978163,0.090640790650682,NA
22,"Cyanistes caeruleus","Blue Tit",NA,"1",1,"visits","number","Poisson","FALSE","video",8,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,1.84,1.89,14.72,15.12,0.993554963264919,0.935612104924274,"incubation feeding"
24,"Melanerpes formicivorus","Acorn Woodpecker",NA,"2",2,"visits/time","rate","Gaussian","FALSE","direct",3,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"data not presented"
27,"Sitta europaea","Nuthatch",NA,"1",1,"visits/time","rate","non-parametric","FALSE","video",1.5,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"male PR; data not presented"
27,"Sitta europaea","Nuthatch",NA,"2",2,"visits/time","rate","non-parametric","FALSE","video",1.5,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"female PR; data not presented"
27,"Sitta europaea","Nuthatch",NA,"1",1,"visits/time","rate","non-parametric","FALSE","video",1.5,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,0.4295292,0.7488425,0.6442938,1.12326375,1.21957660781056,0.489353375940471,"incubation feeding extracted from fig 1, no chick feeding data presented"
28,"Passer domesticus","House Sparrow",NA,"1",1,"visits/time","rate","Poisson","TRUE; but embargoed","video",1.5,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,7.84597,NA,11.768955,NA,NA,NA,"exp model intercept used; data embargoed on dryad"
29,"Tarsiger cyanurus","Red-flanked Bluetail",NA,"1",1,"visits","number","Poisson","FALSE","video",1,TRUE,TRUE,3,"visits/hour",1,FALSE,NA,16.465686,7.069834,16.465686,7.069834,0.351602437733773,0.670571327759405,"I THINK that they watched nests multiply for an hour at a time, and analyse number of feeds during that hour, but not completely clear"
33,"Cyanapica cyana","Azure-winged Magpie",NA,"1",1,"visits/time","rate","Gaussian","TRUE, but incomprehensable","video",NA,NA,FALSE,NA,"visits/hour",1,FALSE,NA,1.15,0.6734983,NA,NA,NA,NA,"incubation feeding; unsure of data collection"
33,"Cyanapica cyana","Azure-winged Magpie",NA,"1",1,"visits/time","rate","Gaussian","TRUE, but incomprehensable","video",NA,NA,FALSE,NA,"visits/hour",1,FALSE,NA,1.522042,1.26366,NA,NA,NA,NA,"extracted from fig 2"
35,"Spheniscus magellanicus","Magellanic Penguin",NA,"1",1,"visits/time","rate","non-parametric","FALSE","automated",720,TRUE,TRUE,3,"visits/day",24,FALSE,NA,0.64,0.318509,19.2,9.55527,0.442258303043046,0.789711607018348,"males, early chick"
35,"Spheniscus magellanicus","Magellanic Penguin",NA,"1",1,"visits/time","rate","non-parametric","FALSE","automated",720,TRUE,TRUE,3,"visits/day",24,FALSE,NA,0.6709677,0.339798,20.129031,10.19394,0.454743438109181,0.806295940434936,"females, early chick"
35,"Spheniscus magellanicus","Magellanic Penguin",NA,"1",1,"visits/time","rate","non-parametric","FALSE","automated",720,TRUE,TRUE,2,"visits/day",24,FALSE,NA,0.7285714,0.180673,21.857142,5.42019,0.125473956103714,0.256014703604741,"Total time assumed; males, late chick"
35,"Spheniscus magellanicus","Magellanic Penguin",NA,"1",1,"visits/time","rate","non-parametric","FALSE","automated",720,TRUE,TRUE,2,"visits/day",24,FALSE,NA,0.7272727,0.181742,21.818181,5.45226,0.128896491822129,0.266051774406304,"Total time assumed; females, late chick"
37,"Hirundo rustica","Barn Swallow",NA,"3",3,"visits","number","Poisson","FALSE","video",11.5,TRUE,FALSE,NA,"visits/90min",1.5,FALSE,NA,20.69,12.35,158.623333333333,94.6833333333333,0.591602389703104,0.982306245621637,"analysed sexes seperately, but present mean and sd of total visits"
38,"Pomatostomus ruficeps","Chestnut-crowned Babbler",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","automated",11.5,FALSE,NA,NA,"visits/hour/chick",1,TRUE,NA,NA,NA,NA,NA,NA,NA,"per chick data available, but not extracted"
38,"Pomatostomus ruficeps","Chestnut-crowned Babbler",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","automated",11.5,FALSE,NA,NA,"visits/hour/chick",1,TRUE,NA,NA,NA,NA,NA,NA,NA,"per chick data available, but not extracted"
38,"Pomatostomus ruficeps","Chestnut-crowned Babbler",NA,"1",1,"visits/time","rate","Gaussian","FALSE","automated",11.5,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,11.1,6.418454,127.65,73.812221,0.571425003696494,0.976570432468256,"carer removal"
38,"Pomatostomus ruficeps","Chestnut-crowned Babbler",NA,"1",1,"visits/time","rate","Gaussian","FALSE","automated",11.5,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,14.8,8.581575,170.2,98.6881125,0.574747351991854,0.982524489546244,"brood size manipulation"
40,"Lanius bucephalus","Bull-headed Shrike",4,NA,4,"NA",NA,NA,"FALSE","video",4.5,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,4.5,1.636282,20.25,7.363269,0.287811562454789,0.626505944399252,"incubation feeding"
42,"Sapayoa aenigma","Sapayoa",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",3,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,1.066575,0.7753294,3.199725,2.3259882,0.464656720203961,0.408577775844956,"extracted from figure 4b"
42,"Sapayoa aenigma","Sapayoa",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",3,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,1.054039,0.6122655,3.162117,1.8367965,0.145508039441562,0.0627491376739347,"extracted from figure 4c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,2.848956,2.14602,10.683585,8.047575,0.688336570103393,0.83503684882924,"sexes, age1; extracted from figure 3c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,5.254514,3.78144,19.7044275,14.1804,0.683486686516355,0.902008849187126,"sexes, age2; extracted from figure 3c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,6.418853,5.58763,24.07069875,20.9536125,0.846304302020267,0.945175979482454,"sexes, age3; extracted from figure 3c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,5.908713,3.84237,22.15767375,14.4088875,0.61460919045675,0.893275712907145,"females, age 1 vs. 2; extracted from figure 3c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,5.341252,4.36377,20.029695,16.3641375,0.785845447641025,0.925202325409202,"females, age 1 vs. 3; extracted from figure 3c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,6.973978,4.8685,26.1524175,18.256875,0.670148798382793,0.921538075429533,"females, age 2 vs. 3; extracted from figure 3c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,2.595684,1.72776,9.733815,6.4791,0.583374680790548,0.768125109527325,"males, age 1 vs. 2; extracted from figure 3c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,3.529901,4.32343,13.23712875,16.2128625,1.19356398699617,0.949641313490121,"males, age 1 vs. 3; extracted from figure 3c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,4.381843,3.70628,16.43191125,13.89855,0.809052339789565,0.914935355173208,"males, age 2 vs. 3; extracted from figure 3c"
54,"Agelaius phoeniceus","Red-winged Blackbird",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","direct",0.5,TRUE,TRUE,6,"visits/30mins/chick",0.5,TRUE,3,1.517222,0.399584,4.551666,NA,NA,NA,NA
